Urb	Comp	Child	Day	pAge	SEC	Ncar	Gend	Driver	wstat	Pwstat	Xdag	Xn-dag	Xarb	Xpop	Ddag	Dn-dag	Darb	Dpop	Empty	Empty	Dur	Nep	Ratio	Inter	startTime
0	2	0	0	0	3	2	1	1	2	0	5	5	5	5	1	0	0	1	0	0	2	0	0	0	540
3	4	0	0	3	1	1	1	1	0	0	0	0	0	0	5	5	5	5	0	0	2	0	0	0	525
3	3	1	0	0	2	1	0	0	1	2	1	1	0	1	0	0	4	0	0	0	0	0	0	0	525
2	3	0	0	1	3	2	1	1	2	2	3	1	1	2	1	1	1	3	0	0	1	0	0	0	505
2	3	0	0	1	3	2	0	1	2	2	3	1	1	2	1	1	1	3	0	0	4	0	0	0	470
2	3	1	0	1	2	1	1	1	2	1	2	1	0	2	3	2	4	4	0	0	4	0	0	0	450
3	2	0	0	2	1	1	1	1	2	0	0	0	0	0	5	5	5	5	0	0	1	0	0	0	530
0	2	1	0	1	3	1	0	1	0	2	5	5	4	5	3	3	0	0	0	0	0	0	0	0	556
0	2	1	0	1	3	1	1	1	2	0	5	5	4	5	3	3	0	0	0	0	3	0	0	0	535
3	2	1	0	1	2	1	1	1	2	0	1	0	0	1	2	1	5	3	0	0	1	0	0	0	510
1	3	0	0	0	3	2	0	1	2	2	5	4	4	4	4	3	3	0	0	0	2	0	0	0	515
1	3	0	0	0	3	2	1	1	2	2	5	4	4	4	4	3	3	0	0	0	4	0	0	0	505
1	3	2	0	0	1	0	1	0	1	1	3	3	2	3	3	2	2	4	0	0	0	0	0	0	480
3	3	0	0	2	1	2	1	1	2	1	1	0	0	1	4	0	5	0	0	0	3	0	0	0	420
3	3	0	0	1	1	2	0	1	1	2	1	0	0	1	4	0	5	0	0	0	1	0	0	0	464
0	1	1	0	1	2	1	0	1	2	1	5	5	5	5	0	0	0	0	0	0	2	0	0	0	492
4	3	1	0	1	3	1	1	1	2	1	0	0	0	0	5	5	5	5	0	0	3	0	0	0	505
1	4	2	0	1	0	1	1	1	0	0	5	5	4	3	0	0	0	0	0	0	1	1	3	3	490
1	1	2	0	1	0	1	0	1	1	0	1	3	2	2	4	4	4	0	0	0	3	0	0	0	400
4	3	0	0	0	3	1	0	1	2	2	0	0	0	0	5	5	5	5	0	0	3	0	0	0	480
3	3	1	0	1	3	2	1	1	2	1	1	1	0	1	4	3	4	4	0	0	2	0	0	0	540
3	3	1	0	1	3	2	0	1	1	2	1	1	0	1	4	3	4	4	0	0	1	0	0	0	450
1	2	0	0	2	1	2	1	1	2	0	5	4	3	3	0	1	3	0	0	0	3	0	0	0	495
