Urb	Comp	Child	Day	pAge	SEC	Ncar	Gend	Driver	wstat	Pwstat	Xdag	Xn-dag	Xarb	Xpop	Ddag	Dn-dag	Darb	Dpop	Empty	Empty	Duration	Ratio	Durbreak
0	1	0	0	1	3	1	0	1	2	1	5	5	5	5	2	1	2	3	0	0	1	0	110
4	2	1	0	0	3	2	1	1	2	0	0	0	0	0	5	5	5	5	0	0	4	0	109
3	3	1	0	1	1	1	1	1	2	1	3	4	2	2	0	1	1	4	0	0	4	4	125
3	3	1	0	1	1	1	0	1	1	2	3	4	2	2	0	1	1	4	0	0	1	2	30
3	3	2	0	1	2	2	1	1	2	2	2	1	1	1	4	4	3	4	0	0	1	3	65
3	1	3	0	1	3	1	1	1	2	2	4	4	2	2	0	1	1	4	0	0	4	4	65
3	2	1	0	1	1	1	1	1	2	0	0	0	0	0	5	5	5	5	0	0	4	2	47
2	3	3	0	1	3	0	0	0	2	2	3	3	1	2	4	3	3	3	0	0	3	1	30
0	3	2	0	1	2	1	0	1	2	1	5	5	4	5	2	1	2	3	0	0	2	2	30
4	2	1	0	1	2	2	1	1	2	0	1	0	0	0	4	5	5	5	0	0	2	2	65
1	3	0	0	1	1	1	1	1	2	1	0	0	0	0	5	5	5	4	0	0	4	4	135
2	3	1	0	0	2	2	0	1	1	2	4	4	4	3	2	2	2	3	0	0	2	1	47
3	2	3	0	1	3	2	1	1	2	0	1	0	0	1	0	0	2	3	0	0	3	0	35
0	1	0	0	1	2	0	1	0	2	0	5	5	5	5	0	1	1	0	0	0	0	1	260
1	3	0	0	1	2	1	0	1	2	2	4	4	3	2	4	4	3	4	0	0	2	3	58
4	3	2	0	1	2	1	0	1	1	2	0	0	0	0	5	5	5	5	0	0	0	0	10
4	2	0	0	2	3	2	1	1	2	0	1	0	0	0	5	5	5	5	0	0	2	3	60
4	3	2	0	1	2	2	1	1	2	2	0	0	0	0	5	5	5	5	0	0	4	3	120
2	2	3	0	1	3	2	1	1	2	0	0	3	1	0	4	5	4	5	0	0	2	1	65
0	3	1	0	0	2	1	0	1	1	2	1	0	0	1	4	3	5	1	0	0	2	3	40
4	3	1	0	0	3	2	0	1	1	2	0	0	0	0	5	5	5	5	0	0	1	1	60
4	3	3	0	1	3	1	0	1	1	2	0	0	0	0	5	5	5	5	0	0	1	3	55
4	3	3	0	1	3	1	1	1	2	1	0	0	0	0	5	5	5	5	0	0	3	1	20
1	3	0	0	2	3	2	1	1	1	1	1	1	1	1	4	5	5	5	0	0	2	1	30
2	3	0	0	1	3	2	1	1	2	1	5	4	4	4	2	0	0	3	0	0	0	4	210
3	2	3	0	1	3	1	1	1	2	0	3	1	1	2	4	3	3	4	0	0	2	3	60
2	3	2	0	1	1	2	0	1	2	2	3	2	2	1	4	3	3	3	0	0	0	1	82
0	1	0	0	1	2	1	0	1	2	0	5	5	4	5	2	2	3	0	0	0	3	1	50
0	3	2	0	1	3	1	0	1	1	2	4	4	4	5	1	1	1	0	0	0	2	3	30
0	3	2	0	1	3	2	1	1	2	2	1	0	0	1	4	3	5	1	0	0	2	3	30
2	3	3	0	1	2	0	0	0	1	2	3	3	2	2	4	3	3	4	0	0	1	2	35
4	3	3	0	1	1	1	1	1	2	1	0	0	0	0	5	5	5	5	0	0	2	3	31
3	1	0	0	1	0	1	1	1	2	0	0	0	0	0	5	5	5	5	0	0	1	3	75
0	1	0	0	0	3	1	1	1	2	0	4	4	4	3	3	3	3	0	0	0	3	1	15
3	2	0	0	1	1	1	1	1	2	0	0	0	0	0	5	5	5	5	0	0	1	3	85
3	3	0	0	1	3	2	1	1	2	2	0	0	0	0	5	5	5	5	0	0	0	0	190
4	2	1	0	1	0	1	1	1	2	0	0	0	0	0	5	5	5	5	0	0	0	2	102
0	2	0	0	1	2	1	1	1	2	0	5	5	4	5	0	0	0	0	0	0	1	4	130
3	3	0	0	2	3	1	1	1	2	1	2	2	1	2	2	2	2	3	0	0	4	4	120
3	3	0	0	1	3	1	1	1	2	1	1	0	0	0	5	5	5	5	0	0	3	3	60
2	3	0	0	0	3	2	1	1	2	2	1	2	0	1	3	0	0	4	0	0	2	2	60
1	2	0	0	2	1	2	1	1	2	0	3	3	2	2	4	3	5	4	0	0	4	1	65
4	2	2	0	1	1	1	1	1	2	0	0	0	0	0	5	5	5	5	0	0	2	3	30
4	2	0	0	2	2	1	0	1	1	0	1	0	0	0	5	5	5	5	0	0	1	1	60
0	3	0	0	0	1	1	1	1	2	2	5	5	4	5	2	1	2	0	0	0	2	3	110
4	3	3	0	1	3	1	0	1	1	2	0	0	0	0	5	5	5	5	0	0	1	3	54
4	3	0	0	1	3	1	0	1	1	2	0	0	0	0	5	5	5	5	0	0	3	1	60
1	2	0	0	2	1	2	1	1	2	0	5	5	4	2	4	3	3	4	0	0	1	1	280
1	3	3	0	2	3	1	1	1	2	2	5	5	5	5	2	0	2	3	0	0	1	4	240
3	1	0	0	1	2	1	0	1	2	0	1	1	1	1	1	1	5	2	0	0	4	4	198
4	3	2	0	1	3	2	0	1	1	2	0	0	0	0	5	5	5	5	0	0	2	3	55
1	1	0	0	2	2	0	0	0	2	2	4	4	3	3	4	4	4	4	0	0	1	2	165
4	2	2	0	1	1	1	1	1	2	0	1	0	0	0	5	5	5	5	0	0	2	2	58
0	3	1	0	1	3	1	0	1	1	2	2	2	2	2	4	4	4	5	0	0	1	3	50
4	3	0	0	2	2	2	0	1	1	1	0	1	0	0	5	5	5	5	0	0	0	2	241
4	3	3	0	1	1	1	1	1	2	1	0	0	0	0	5	5	4	5	0	0	1	0	60
2	3	0	0	0	3	1	0	1	2	2	3	4	3	3	4	4	3	2	0	0	1	3	30
0	3	2	0	1	3	2	1	1	2	1	2	4	4	4	3	4	4	4	0	0	0	3	140
3	2	0	0	1	3	2	1	1	0	2	2	1	0	1	2	2	2	3	0	0	1	1	65
3	3	1	0	0	1	2	1	1	2	1	0	0	0	0	5	5	5	5	0	0	1	3	51
4	2	0	0	1	2	1	1	1	2	0	0	0	0	0	5	5	5	5	0	0	4	2	106
3	2	0	0	2	1	1	1	1	2	0	1	0	0	0	0	5	5	5	0	0	2	3	60
