Urb	Comp	Child	Day	pAge	SEC	Ncar	Gend	Driver	wstat	Pwstat	Xdag	Xn-dag	Xarb	Xpop	Ddag	Dn-dag	Darb	Dpop	Empty	Empty	Duration	Ratio	
4	3	3	0	1	3	1	0	1	1	2	0	0	0	0	5	5	5	5	0	0	1	61
4	3	3	0	1	3	1	1	1	2	1	0	0	0	0	5	5	5	5	0	0	3	44
1	3	0	0	2	3	2	1	1	1	1	1	1	1	1	4	5	5	5	0	0	2	48
2	3	0	0	1	3	2	1	1	2	1	5	4	4	4	2	0	0	3	0	0	0	81
3	2	3	0	1	3	1	1	1	2	0	3	1	1	2	4	3	3	4	0	0	2	61
2	3	2	0	1	1	2	0	1	2	2	3	2	2	1	4	3	3	3	0	0	0	44
0	1	0	0	1	2	1	0	1	2	0	5	5	4	5	2	2	3	0	0	0	3	48
0	3	2	0	1	3	1	0	1	1	2	4	4	4	5	1	1	1	0	0	0	2	59
0	3	2	0	1	3	2	1	1	2	2	1	0	0	1	4	3	5	1	0	0	2	63
2	3	3	0	1	2	0	0	0	1	2	3	3	2	2	4	3	3	4	0	0	1	53
4	3	3	0	1	1	1	1	1	2	1	0	0	0	0	5	5	5	5	0	0	2	62
3	1	0	0	1	0	1	1	1	2	0	0	0	0	0	5	5	5	5	0	0	1	67
0	1	0	0	0	3	1	1	1	2	0	4	4	4	3	3	3	3	0	0	0	3	39
3	2	0	0	1	1	1	1	1	2	0	0	0	0	0	5	5	5	5	0	0	1	67
3	3	0	0	1	3	2	1	1	2	2	0	0	0	0	5	5	5	5	0	0	0	27
4	2	1	0	1	0	1	1	1	2	0	0	0	0	0	5	5	5	5	0	0	0	54
0	2	0	0	1	2	1	1	1	2	0	5	5	4	5	0	0	0	0	0	0	1	82
3	3	0	0	2	3	1	1	1	2	1	2	2	1	2	2	2	2	3	0	0	4	78
3	3	0	0	1	3	1	1	1	2	1	1	0	0	0	5	5	5	5	0	0	3	64
2	3	0	0	0	3	2	1	1	2	2	1	2	0	1	3	0	0	4	0	0	2	52
1	2	0	0	2	1	2	1	1	2	0	3	3	2	2	4	3	5	4	0	0	4	46
4	2	2	0	1	1	1	1	1	2	0	0	0	0	0	5	5	5	5	0	0	2	59
4	2	0	0	2	2	1	0	1	1	0	1	0	0	0	5	5	5	5	0	0	1	46
0	3	0	0	0	1	1	1	1	2	2	5	5	4	5	2	1	2	0	0	0	2	67
4	3	3	0	1	3	1	0	1	1	2	0	0	0	0	5	5	5	5	0	0	1	57
4	3	0	0	1	3	1	0	1	1	2	0	0	0	0	5	5	5	5	0	0	3	46
1	2	0	0	2	1	2	1	1	2	0	5	5	4	2	4	3	3	4	0	0	1	42
1	3	3	0	2	3	1	1	1	2	2	5	5	5	5	2	0	2	3	0	0	1	80
3	1	0	0	1	2	1	0	1	2	0	1	1	1	1	1	1	5	2	0	0	4	77
4	3	2	0	1	3	2	0	1	1	2	0	0	0	0	5	5	5	5	0	0	2	57
1	1	0	0	2	2	0	0	0	2	2	4	4	3	3	4	4	4	4	0	0	1	53
4	2	2	0	1	1	1	1	1	2	0	1	0	0	0	5	5	5	5	0	0	2	55
0	3	1	0	1	3	1	0	1	1	2	2	2	2	2	4	4	4	5	0	0	1	60
4	3	0	0	2	2	2	0	1	1	1	0	1	0	0	5	5	5	5	0	0	0	51
4	3	3	0	1	1	1	1	1	2	1	0	0	0	0	5	5	4	5	0	0	1	21
2	3	0	0	0	3	1	0	1	2	2	3	4	3	3	4	4	3	2	0	0	1	62
0	3	2	0	1	3	2	1	1	2	1	2	4	4	4	3	4	4	4	0	0	0	63
3	2	0	0	1	3	2	1	1	0	2	2	1	0	1	2	2	2	3	0	0	1	47
